,Category,Original Metadata,Metadata Match,Context,Possible Matches
0,Agreement,Agreement Type,Amendment,"   Printed Name: ________________________ Printed Name: ______________________________  Title: _______________________________ Title: _____________________________________  Signature: ___________________________ Signature: _________________________________  Date: _______________________________ Date: _____________________________________   DocuSign Envelope ID: 9DDE25DE-875D-496A-9C65-FDBB797ADDDBJanuary 20, 2020Sarah SlatterySVP FinanceRand GreenblattJanuary 21, 2020Salil JainJanuary 21, 2020Chief Client Officer	EXHIBIT B-11	Order Form for MetricStream Software License		2020-01-21T17:46:42-0800	Digitally verifiable PDF exported from www.docusign.comSOFTWARE, SUPPORT AND SERVICES AGREEMENT Page 1 of 4 EXHIBIT B-11   Order Form for MetricStream Software License  Exhibit to the Software License, Support and Services Agreement and Amendment 1 to the Software License, Support and Services Agreement (“Agreement”) Between  MetricStream, Inc. (“Company”) and Chubb INA Holdings Inc., (f/n/a ACE INA Holdings Inc.), dated December 2, 2013  “Licensee”: Chubb INA Holdings Inc.  “Effective Date”: January 1, 2020    MetricStream Software:  MetricStream will provide Licensee licenses to the following MetricStream Software Modules:      QA Audit Management  Vendor Management  Type of License: Subscription-based Cloud Services (as described in Exhibit D-1 of the Agreement)   “License Term”: Twelve (12) months from the Effective Date.  Pricing  License Fee Pricing:   Licensee Fees shall be based on the Pricing Table below.",[]
1,Agreement,Type of Support,Type of Support,"   Printed Name: ________________________ Printed Name: ______________________________  Title: _______________________________ Title: _____________________________________  Signature: ___________________________ Signature: _________________________________  Date: _______________________________ Date: _____________________________________   DocuSign Envelope ID: 9DDE25DE-875D-496A-9C65-FDBB797ADDDBJanuary 20, 2020Sarah SlatterySVP FinanceRand GreenblattJanuary 21, 2020Salil JainJanuary 21, 2020Chief Client Officer	EXHIBIT B-11	Order Form for MetricStream Software License		2020-01-21T17:46:42-0800	Digitally verifiable PDF exported from www.docusign.comSOFTWARE, SUPPORT AND SERVICES AGREEMENT Page 1 of 4 EXHIBIT B-11   Order Form for MetricStream Software License  Exhibit to the Software License, Support and Services Agreement and Amendment 1 to the Software License, Support and Services Agreement (“Agreement”) Between  MetricStream, Inc. (“Company”) and Chubb INA Holdings Inc., (f/n/a ACE INA Holdings Inc.), dated December 2, 2013  “Licensee”: Chubb INA Holdings Inc.  “Effective Date”: January 1, 2020    MetricStream Software:  MetricStream will provide Licensee licenses to the following MetricStream Software Modules:      QA Audit Management  Vendor Management  Type of License: Subscription-based Cloud Services (as described in Exhibit D-1 of the Agreement)   “License Term”: Twelve (12) months from the Effective Date.  Pricing  License Fee Pricing:   Licensee Fees shall be based on the Pricing Table below.",[]
2,Date,Effective Date,Effective Date,"   Printed Name: ________________________ Printed Name: ______________________________  Title: _______________________________ Title: _____________________________________  Signature: ___________________________ Signature: _________________________________  Date: _______________________________ Date: _____________________________________   DocuSign Envelope ID: 9DDE25DE-875D-496A-9C65-FDBB797ADDDBJanuary 20, 2020Sarah SlatterySVP FinanceRand GreenblattJanuary 21, 2020Salil JainJanuary 21, 2020Chief Client Officer	EXHIBIT B-11	Order Form for MetricStream Software License		2020-01-21T17:46:42-0800	Digitally verifiable PDF exported from www.docusign.comSOFTWARE, SUPPORT AND SERVICES AGREEMENT Page 1 of 4 EXHIBIT B-11   Order Form for MetricStream Software License  Exhibit to the Software License, Support and Services Agreement and Amendment 1 to the Software License, Support and Services Agreement (“Agreement”) Between  MetricStream, Inc. (“Company”) and Chubb INA Holdings Inc., (f/n/a ACE INA Holdings Inc.), dated December 2, 2013  “Licensee”: Chubb INA Holdings Inc.  “Effective Date”: January 1, 2020    MetricStream Software:  MetricStream will provide Licensee licenses to the following MetricStream Software Modules:      QA Audit Management  Vendor Management  Type of License: Subscription-based Cloud Services (as described in Exhibit D-1 of the Agreement)   “License Term”: Twelve (12) months from the Effective Date.  Pricing  License Fee Pricing:   Licensee Fees shall be based on the Pricing Table below.",[]
3,Date,Effective Date,Effective Date,"   Printed Name: ________________________ Printed Name: ______________________________  Title: _______________________________ Title: _____________________________________  Signature: ___________________________ Signature: _________________________________  Date: _______________________________ Date: _____________________________________   DocuSign Envelope ID: 9DDE25DE-875D-496A-9C65-FDBB797ADDDBJanuary 20, 2020Sarah SlatterySVP FinanceRand GreenblattJanuary 21, 2020Salil JainJanuary 21, 2020Chief Client Officer	EXHIBIT B-11	Order Form for MetricStream Software License		2020-01-21T17:46:42-0800	Digitally verifiable PDF exported from www.docusign.comSOFTWARE, SUPPORT AND SERVICES AGREEMENT Page 1 of 4 EXHIBIT B-11   Order Form for MetricStream Software License  Exhibit to the Software License, Support and Services Agreement and Amendment 1 to the Software License, Support and Services Agreement (“Agreement”) Between  MetricStream, Inc. (“Company”) and Chubb INA Holdings Inc., (f/n/a ACE INA Holdings Inc.), dated December 2, 2013  “Licensee”: Chubb INA Holdings Inc.  “Effective Date”: January 1, 2020    MetricStream Software:  MetricStream will provide Licensee licenses to the following MetricStream Software Modules:      QA Audit Management  Vendor Management  Type of License: Subscription-based Cloud Services (as described in Exhibit D-1 of the Agreement)   “License Term”: Twelve (12) months from the Effective Date.  Pricing  License Fee Pricing:   Licensee Fees shall be based on the Pricing Table below.",[]
4,Date,Effective Date,Effective Date,"   Printed Name: ________________________ Printed Name: ______________________________  Title: _______________________________ Title: _____________________________________  Signature: ___________________________ Signature: _________________________________  Date: _______________________________ Date: _____________________________________   DocuSign Envelope ID: 9DDE25DE-875D-496A-9C65-FDBB797ADDDBJanuary 20, 2020Sarah SlatterySVP FinanceRand GreenblattJanuary 21, 2020Salil JainJanuary 21, 2020Chief Client Officer	EXHIBIT B-11	Order Form for MetricStream Software License		2020-01-21T17:46:42-0800	Digitally verifiable PDF exported from www.docusign.comSOFTWARE, SUPPORT AND SERVICES AGREEMENT Page 1 of 4 EXHIBIT B-11   Order Form for MetricStream Software License  Exhibit to the Software License, Support and Services Agreement and Amendment 1 to the Software License, Support and Services Agreement (“Agreement”) Between  MetricStream, Inc. (“Company”) and Chubb INA Holdings Inc., (f/n/a ACE INA Holdings Inc.), dated December 2, 2013  “Licensee”: Chubb INA Holdings Inc.  “Effective Date”: January 1, 2020    MetricStream Software:  MetricStream will provide Licensee licenses to the following MetricStream Software Modules:      QA Audit Management  Vendor Management  Type of License: Subscription-based Cloud Services (as described in Exhibit D-1 of the Agreement)   “License Term”: Twelve (12) months from the Effective Date.  Pricing  License Fee Pricing:   Licensee Fees shall be based on the Pricing Table below.",[]
5,Date,Effective Date,Effective Date,"   Printed Name: ________________________ Printed Name: ______________________________  Title: _______________________________ Title: _____________________________________  Signature: ___________________________ Signature: _________________________________  Date: _______________________________ Date: _____________________________________   DocuSign Envelope ID: 9DDE25DE-875D-496A-9C65-FDBB797ADDDBJanuary 20, 2020Sarah SlatterySVP FinanceRand GreenblattJanuary 21, 2020Salil JainJanuary 21, 2020Chief Client Officer	EXHIBIT B-11	Order Form for MetricStream Software License		2020-01-21T17:46:42-0800	Digitally verifiable PDF exported from www.docusign.comSOFTWARE, SUPPORT AND SERVICES AGREEMENT Page 1 of 4 EXHIBIT B-11   Order Form for MetricStream Software License  Exhibit to the Software License, Support and Services Agreement and Amendment 1 to the Software License, Support and Services Agreement (“Agreement”) Between  MetricStream, Inc. (“Company”) and Chubb INA Holdings Inc., (f/n/a ACE INA Holdings Inc.), dated December 2, 2013  “Licensee”: Chubb INA Holdings Inc.  “Effective Date”: January 1, 2020    MetricStream Software:  MetricStream will provide Licensee licenses to the following MetricStream Software Modules:      QA Audit Management  Vendor Management  Type of License: Subscription-based Cloud Services (as described in Exhibit D-1 of the Agreement)   “License Term”: Twelve (12) months from the Effective Date.  Pricing  License Fee Pricing:   Licensee Fees shall be based on the Pricing Table below.",[]
6,Date,Term End Date,Term End Date,"   Printed Name: ________________________ Printed Name: ______________________________  Title: _______________________________ Title: _____________________________________  Signature: ___________________________ Signature: _________________________________  Date: _______________________________ Date: _____________________________________   DocuSign Envelope ID: 9DDE25DE-875D-496A-9C65-FDBB797ADDDBJanuary 20, 2020Sarah SlatterySVP FinanceRand GreenblattJanuary 21, 2020Salil JainJanuary 21, 2020Chief Client Officer	EXHIBIT B-11	Order Form for MetricStream Software License		2020-01-21T17:46:42-0800	Digitally verifiable PDF exported from www.docusign.comSOFTWARE, SUPPORT AND SERVICES AGREEMENT Page 1 of 4 EXHIBIT B-11   Order Form for MetricStream Software License  Exhibit to the Software License, Support and Services Agreement and Amendment 1 to the Software License, Support and Services Agreement (“Agreement”) Between  MetricStream, Inc. (“Company”) and Chubb INA Holdings Inc., (f/n/a ACE INA Holdings Inc.), dated December 2, 2013  “Licensee”: Chubb INA Holdings Inc.  “Effective Date”: January 1, 2020    MetricStream Software:  MetricStream will provide Licensee licenses to the following MetricStream Software Modules:      QA Audit Management  Vendor Management  Type of License: Subscription-based Cloud Services (as described in Exhibit D-1 of the Agreement)   “License Term”: Twelve (12) months from the Effective Date.  Pricing  License Fee Pricing:   Licensee Fees shall be based on the Pricing Table below.",[]
7,Date,Term End Date,Term End Date,"   Printed Name: ________________________ Printed Name: ______________________________  Title: _______________________________ Title: _____________________________________  Signature: ___________________________ Signature: _________________________________  Date: _______________________________ Date: _____________________________________   DocuSign Envelope ID: 9DDE25DE-875D-496A-9C65-FDBB797ADDDBJanuary 20, 2020Sarah SlatterySVP FinanceRand GreenblattJanuary 21, 2020Salil JainJanuary 21, 2020Chief Client Officer	EXHIBIT B-11	Order Form for MetricStream Software License		2020-01-21T17:46:42-0800	Digitally verifiable PDF exported from www.docusign.comSOFTWARE, SUPPORT AND SERVICES AGREEMENT Page 1 of 4 EXHIBIT B-11   Order Form for MetricStream Software License  Exhibit to the Software License, Support and Services Agreement and Amendment 1 to the Software License, Support and Services Agreement (“Agreement”) Between  MetricStream, Inc. (“Company”) and Chubb INA Holdings Inc., (f/n/a ACE INA Holdings Inc.), dated December 2, 2013  “Licensee”: Chubb INA Holdings Inc.  “Effective Date”: January 1, 2020    MetricStream Software:  MetricStream will provide Licensee licenses to the following MetricStream Software Modules:      QA Audit Management  Vendor Management  Type of License: Subscription-based Cloud Services (as described in Exhibit D-1 of the Agreement)   “License Term”: Twelve (12) months from the Effective Date.  Pricing  License Fee Pricing:   Licensee Fees shall be based on the Pricing Table below.",[]
8,Legal,Other Order Form Terms,Other Order Form Terms,"   Printed Name: ________________________ Printed Name: ______________________________  Title: _______________________________ Title: _____________________________________  Signature: ___________________________ Signature: _________________________________  Date: _______________________________ Date: _____________________________________   DocuSign Envelope ID: 9DDE25DE-875D-496A-9C65-FDBB797ADDDBJanuary 20, 2020Sarah SlatterySVP FinanceRand GreenblattJanuary 21, 2020Salil JainJanuary 21, 2020Chief Client Officer	EXHIBIT B-11	Order Form for MetricStream Software License		2020-01-21T17:46:42-0800	Digitally verifiable PDF exported from www.docusign.comSOFTWARE, SUPPORT AND SERVICES AGREEMENT Page 1 of 4 EXHIBIT B-11   Order Form for MetricStream Software License  Exhibit to the Software License, Support and Services Agreement and Amendment 1 to the Software License, Support and Services Agreement (“Agreement”) Between  MetricStream, Inc. (“Company”) and Chubb INA Holdings Inc., (f/n/a ACE INA Holdings Inc.), dated December 2, 2013  “Licensee”: Chubb INA Holdings Inc.  “Effective Date”: January 1, 2020    MetricStream Software:  MetricStream will provide Licensee licenses to the following MetricStream Software Modules:      QA Audit Management  Vendor Management  Type of License: Subscription-based Cloud Services (as described in Exhibit D-1 of the Agreement)   “License Term”: Twelve (12) months from the Effective Date.  Pricing  License Fee Pricing:   Licensee Fees shall be based on the Pricing Table below.",[]
9,Product,License Type,License Type,"   Printed Name: ________________________ Printed Name: ______________________________  Title: _______________________________ Title: _____________________________________  Signature: ___________________________ Signature: _________________________________  Date: _______________________________ Date: _____________________________________   DocuSign Envelope ID: 9DDE25DE-875D-496A-9C65-FDBB797ADDDBJanuary 20, 2020Sarah SlatterySVP FinanceRand GreenblattJanuary 21, 2020Salil JainJanuary 21, 2020Chief Client Officer	EXHIBIT B-11	Order Form for MetricStream Software License		2020-01-21T17:46:42-0800	Digitally verifiable PDF exported from www.docusign.comSOFTWARE, SUPPORT AND SERVICES AGREEMENT Page 1 of 4 EXHIBIT B-11   Order Form for MetricStream Software License  Exhibit to the Software License, Support and Services Agreement and Amendment 1 to the Software License, Support and Services Agreement (“Agreement”) Between  MetricStream, Inc. (“Company”) and Chubb INA Holdings Inc., (f/n/a ACE INA Holdings Inc.), dated December 2, 2013  “Licensee”: Chubb INA Holdings Inc.  “Effective Date”: January 1, 2020    MetricStream Software:  MetricStream will provide Licensee licenses to the following MetricStream Software Modules:      QA Audit Management  Vendor Management  Type of License: Subscription-based Cloud Services (as described in Exhibit D-1 of the Agreement)   “License Term”: Twelve (12) months from the Effective Date.  Pricing  License Fee Pricing:   Licensee Fees shall be based on the Pricing Table below.",['Exhibit']
10,Date,Effective Date,Effective Date,"SOFTWARE, SUPPORT AND SERVICES AGREEMENT Page 1 of 4 EXHIBIT B-11   Order Form for MetricStream Software License  Exhibit to the Software License, Support and Services Agreement and Amendment 1 to the Software License, Support and Services Agreement (“Agreement”) Between  MetricStream, Inc. (“Company”) and Chubb INA Holdings Inc., (f/n/a ACE INA Holdings Inc.), dated December 2, 2013  “Licensee”: Chubb INA Holdings Inc.  “Effective Date”: January 1, 2020    MetricStream Software:  MetricStream will provide Licensee licenses to the following MetricStream Software Modules:      QA Audit Management  Vendor Management  Type of License: Subscription-based Cloud Services (as described in Exhibit D-1 of the Agreement)   “License Term”: Twelve (12) months from the Effective Date.  Pricing  License Fee Pricing:   Licensee Fees shall be based on the Pricing Table below. Licensee may add or remove Named Users, Modules, or Vendor Access Licenses at any time during the Term per the Pricing Table below.",[]
11,Date,Effective Date,Effective Date,"SOFTWARE, SUPPORT AND SERVICES AGREEMENT Page 1 of 4 EXHIBIT B-11   Order Form for MetricStream Software License  Exhibit to the Software License, Support and Services Agreement and Amendment 1 to the Software License, Support and Services Agreement (“Agreement”) Between  MetricStream, Inc. (“Company”) and Chubb INA Holdings Inc., (f/n/a ACE INA Holdings Inc.), dated December 2, 2013  “Licensee”: Chubb INA Holdings Inc.  “Effective Date”: January 1, 2020    MetricStream Software:  MetricStream will provide Licensee licenses to the following MetricStream Software Modules:      QA Audit Management  Vendor Management  Type of License: Subscription-based Cloud Services (as described in Exhibit D-1 of the Agreement)   “License Term”: Twelve (12) months from the Effective Date.  Pricing  License Fee Pricing:   Licensee Fees shall be based on the Pricing Table below. Licensee may add or remove Named Users, Modules, or Vendor Access Licenses at any time during the Term per the Pricing Table below.",[]
12,Date,Term End Date,Term End Date,"SOFTWARE, SUPPORT AND SERVICES AGREEMENT Page 1 of 4 EXHIBIT B-11   Order Form for MetricStream Software License  Exhibit to the Software License, Support and Services Agreement and Amendment 1 to the Software License, Support and Services Agreement (“Agreement”) Between  MetricStream, Inc. (“Company”) and Chubb INA Holdings Inc., (f/n/a ACE INA Holdings Inc.), dated December 2, 2013  “Licensee”: Chubb INA Holdings Inc.  “Effective Date”: January 1, 2020    MetricStream Software:  MetricStream will provide Licensee licenses to the following MetricStream Software Modules:      QA Audit Management  Vendor Management  Type of License: Subscription-based Cloud Services (as described in Exhibit D-1 of the Agreement)   “License Term”: Twelve (12) months from the Effective Date.  Pricing  License Fee Pricing:   Licensee Fees shall be based on the Pricing Table below. Licensee may add or remove Named Users, Modules, or Vendor Access Licenses at any time during the Term per the Pricing Table below.",[]
13,Fee,Cloud Fee,Cloud Fee,"SOFTWARE, SUPPORT AND SERVICES AGREEMENT Page 1 of 4 EXHIBIT B-11   Order Form for MetricStream Software License  Exhibit to the Software License, Support and Services Agreement and Amendment 1 to the Software License, Support and Services Agreement (“Agreement”) Between  MetricStream, Inc. (“Company”) and Chubb INA Holdings Inc., (f/n/a ACE INA Holdings Inc.), dated December 2, 2013  “Licensee”: Chubb INA Holdings Inc.  “Effective Date”: January 1, 2020    MetricStream Software:  MetricStream will provide Licensee licenses to the following MetricStream Software Modules:      QA Audit Management  Vendor Management  Type of License: Subscription-based Cloud Services (as described in Exhibit D-1 of the Agreement)   “License Term”: Twelve (12) months from the Effective Date.  Pricing  License Fee Pricing:   Licensee Fees shall be based on the Pricing Table below. Licensee may add or remove Named Users, Modules, or Vendor Access Licenses at any time during the Term per the Pricing Table below.",[]
14,Fee,License Fee,License Fee,"SOFTWARE, SUPPORT AND SERVICES AGREEMENT Page 1 of 4 EXHIBIT B-11   Order Form for MetricStream Software License  Exhibit to the Software License, Support and Services Agreement and Amendment 1 to the Software License, Support and Services Agreement (“Agreement”) Between  MetricStream, Inc. (“Company”) and Chubb INA Holdings Inc., (f/n/a ACE INA Holdings Inc.), dated December 2, 2013  “Licensee”: Chubb INA Holdings Inc.  “Effective Date”: January 1, 2020    MetricStream Software:  MetricStream will provide Licensee licenses to the following MetricStream Software Modules:      QA Audit Management  Vendor Management  Type of License: Subscription-based Cloud Services (as described in Exhibit D-1 of the Agreement)   “License Term”: Twelve (12) months from the Effective Date.  Pricing  License Fee Pricing:   Licensee Fees shall be based on the Pricing Table below. Licensee may add or remove Named Users, Modules, or Vendor Access Licenses at any time during the Term per the Pricing Table below.",[]
15,Fee,Support Fee,Support Fee,"SOFTWARE, SUPPORT AND SERVICES AGREEMENT Page 1 of 4 EXHIBIT B-11   Order Form for MetricStream Software License  Exhibit to the Software License, Support and Services Agreement and Amendment 1 to the Software License, Support and Services Agreement (“Agreement”) Between  MetricStream, Inc. (“Company”) and Chubb INA Holdings Inc., (f/n/a ACE INA Holdings Inc.), dated December 2, 2013  “Licensee”: Chubb INA Holdings Inc.  “Effective Date”: January 1, 2020    MetricStream Software:  MetricStream will provide Licensee licenses to the following MetricStream Software Modules:      QA Audit Management  Vendor Management  Type of License: Subscription-based Cloud Services (as described in Exhibit D-1 of the Agreement)   “License Term”: Twelve (12) months from the Effective Date.  Pricing  License Fee Pricing:   Licensee Fees shall be based on the Pricing Table below. Licensee may add or remove Named Users, Modules, or Vendor Access Licenses at any time during the Term per the Pricing Table below.",[]
